Scenario,Avg CPU (%),Std CPU (%),Max CPU (%),Avg Memory (MB),Std Memory (MB),Max Memory (MB),Avg Inference (ms),Std Inference (ms),Max Inference (ms),Total Inferences,Drift Events,Drift Rate (%)
Baseline TFLite,5.82093023255814,1.8626121786101841,13.6,177.6775981104651,1.059713979687961,180.328125,357.4109816736029,3.749019717346246,396.05069160461426,129,,
TinyLCM (no drift),3.661111111111111,1.7453721630468788,9.8,230.81372974537038,0.129836749941684,231.16796875,442.62302142602425,2.5320610567868793,451.42126083374023,108,,
TinyLCM (with drift detection),5.894871794871796,2.2458560648157,19.0,225.10026041666666,0.11423788349595686,225.9296875,435.5859420238397,14.133478033625178,496.02699279785156,78,0.0,0.0
